Geo Point;Code département;Libellé département;CODGEO;Libellé Commune
48.47710340265056, -4.322690068512908;29;Finistère;29268;Saint-Thonan
48.62648279999985, -4.257296614894699;29;Finistère;29287;Tréflez
48.389901171384295, -2.8629816779868276;22;Côtes-d'Armor;22277;Saint-Brandan
48.23205332983673, -2.35409866928912;22;Côtes-d'Armor;22309;Saint-Launeuc
48.393646810494076, -2.5412862373097482;22;Côtes-d'Armor;22332;Saint-Trimoël
48.5084390529387, -3.2887619158372385;22;Côtes-d'Armor;22072;Gurunhuel
48.397988313749984, -2.0828373600169927;22;Côtes-d'Armor;22082;Le Hinglé
48.29460489080976, -3.325603227294781;22;Côtes-d'Armor;22087;Kergrist-Moëlou
48.46218951875436, -3.5269405948992083;22;Côtes-d'Armor;22132;Lohuec
48.389733819073925, -2.2674010013311876;22;Côtes-d'Armor;22145;Mégrit
48.52754674850393, -2.071280262807143;22;Côtes-d'Armor;22190;Pleslin-Trigavou
48.525076993155004, -2.0064772868034786;22;Côtes-d'Armor;22213;Plouër-sur-Rance
48.487289095102696, -2.8081004181194076;22;Côtes-d'Armor;22215;Ploufragan
48.64796838664791, -3.536869429523705;22;Côtes-d'Armor;22235;Plouzélambre
48.28681322047517, -1.134055313200611;35;Ille-et-Vilaine;35163;Luitré-Dompierre
48.030318912729, -2.173174951389354;35;Ille-et-Vilaine;35211;Paimpont
48.404538438514734, -1.8857522763163015;35;Ille-et-Vilaine;35226;Pleugueneuc
47.90038136250444, -1.2268946656390862;35;Ille-et-Vilaine;35235;Rannée
48.67723592378046, -1.9211390967979765;35;Ille-et-Vilaine;35263;Saint-Coulomb
48.338312383539865, -1.3665772470754047;35;Ille-et-Vilaine;35280;Saint-Hilaire-des-Landes
48.60398157276344, -1.9652881930111346;35;Ille-et-Vilaine;35284;Saint-Jouan-des-Guérets
48.64003675777474, -1.9808472198720661;35;Ille-et-Vilaine;35288;Saint-Malo
47.69352040056791, -2.013585803376961;35;Ille-et-Vilaine;35294;Sainte-Marie
48.048968891681916, -1.4746343796925527;35;Ille-et-Vilaine;35069;Châteaugiron
48.20937170509668, -2.1509956728944903;35;Ille-et-Vilaine;35091;Le Crouais
47.99526921387853, -4.328045263751018;29;Finistère;29108;Landudec
47.83814360958785, -4.294383401021233;29;Finistère;29171;Plomeur
47.79237710744664, -3.193268893574574;56;Morbihan;56021;Brandérion
47.78422522872202, -2.9222245354579512;56;Morbihan;56022;Brandivy
47.816598647213304, -2.8065809645915505;56;Morbihan;56042;Colpo
48.13658848473797, -3.604143385699294;56;Morbihan;56066;Gourin
47.80760381235834, -3.270365675295573;56;Morbihan;56083;Hennebont
48.14732576756959, -2.928687121513674;56;Morbihan;56093;Kergrist
47.75997742353317, -2.7901783803660187;56;Morbihan;56115;Locmaria-Grand-Champ
48.13156104630813, -2.4540749255275682;56;Morbihan;56129;Ménéac
48.02247756565863, -2.3330554081813353;56;Morbihan;56145;Néant-sur-Yvel
47.715286918207674, -2.2188404770082175;56;Morbihan;56154;Peillac
48.07319555613593, -2.9706396858952147;56;Morbihan;56178;Pontivy
47.51954435198978, -2.302657976962117;56;Morbihan;56195;La Roche-Bernard
48.17704211733387, -3.11040760057991;56;Morbihan;56209;Sainte-Brigitte
47.55195904997736, -2.1184466920730185;56;Morbihan;56250;Théhillac
47.529412175679084, -2.654117150672027;56;Morbihan;56252;Le Tour-du-Parc
48.011081070770075, -1.305387299087277;35;Ille-et-Vilaine;35014;Bais
48.08232593066305, -1.3138456079406102;35;Ille-et-Vilaine;35087;Cornillé
48.16100500975766, -1.2848342049132944;35;Ille-et-Vilaine;35141;Landavran
47.90301685621791, -1.999514645125563;35;Ille-et-Vilaine;35168;Val d'Anast
47.9783264227376, -2.01613867329766;35;Ille-et-Vilaine;35169;Maxent
48.060055157038825, -1.9903845766342225;35;Ille-et-Vilaine;35187;Monterfil
48.085916511468106, -1.8426616880534559;35;Ille-et-Vilaine;35196;Mordelles
47.72782297662942, -1.9667551116529394;35;Ille-et-Vilaine;35237;Renac
48.01335342047276, -1.5805628441028805;35;Ille-et-Vilaine;35250;Saint-Armel
48.3605657435202, -1.8693874521277982;35;Ille-et-Vilaine;35265;Saint-Domineuc
48.3733963840385, -1.3977254047287042;35;Ille-et-Vilaine;35292;Saint-Marc-le-Blanc
48.28121669177965, -1.983188668724824;35;Ille-et-Vilaine;35307;Saint-Pern
47.85176893478345, -2.0260110052735247;35;Ille-et-Vilaine;35311;Saint-Séglin
47.91920650185441, -1.5778407084654573;35;Ille-et-Vilaine;35321;Saulnières
48.549159352652836, -1.9523044191431178;35;Ille-et-Vilaine;35358;La Ville-ès-Nonais
48.69750531447889, -3.308461332158849;22;Côtes-d'Armor;22006;Berhet
48.39639125952189, -2.4944073420385817;22;Côtes-d'Armor;22140;La Malhoure
48.23134465685796, -2.7051289011505077;22;Côtes-d'Armor;22155;La Motte
48.69465351088745, -3.0067518941250695;22;Côtes-d'Armor;22178;Pléhédel
48.19831050359028, -3.2038041544780835;22;Côtes-d'Armor;22181;Plélauff
48.54399626161453, -2.769713010180491;22;Côtes-d'Armor;22187;Plérin
48.41468043166207, -2.4413164240059184;22;Côtes-d'Armor;22193;Plestan
48.51531993406892, -4.120071275834516;29;Finistère;29010;Bodilis
48.65687533095654, -3.9145636201202967;29;Finistère;29023;Carantec
47.92055182843626, -3.9680565665042997;29;Finistère;29057;La Forêt-Fouesnant
48.04124146798606, -4.1960462124654185;29;Finistère;29066;Guengat
48.51640261852274, -4.060783070547436;29;Finistère;29105;Landivisiau
48.18384573719344, -4.02568958039754;29;Finistère;29142;Lothey
48.027138085356306, -4.419501237289253;29;Finistère;29143;Mahalon
47.946755130238095, -4.295840731375638;29;Finistère;29159;Peumerit
48.4574493636135, -4.1292889538002715;29;Finistère;29180;Ploudiry
48.62167974222534, -3.6702827305488466;29;Finistère;29182;Plouégat-Guérand
48.50563261681473, -3.727496231267587;29;Finistère;29191;Plougonven
48.39975175322028, -4.715685340081954;29;Finistère;29201;Ploumoguer
48.27137737155706, -4.198543556175292;29;Finistère;29240;Rosnoën
48.51485172596246, -2.7633107258871803;22;Côtes-d'Armor;22278;Saint-Brieuc
48.180184489996904, -2.925741320443639;22;Côtes-d'Armor;22285;Saint-Connec
48.08570250700337, -2.643116980636368;22;Côtes-d'Armor;22288;Saint-Étienne-du-Gué-de-l'Isle
48.63739398496615, -3.1667291042396215;22;Côtes-d'Armor;22338;Squiffiec
48.67585912150836, -3.4003826594572883;22;Côtes-d'Armor;22340;Tonquédec
48.70786004074584, -3.5635644143972796;22;Côtes-d'Armor;22349;Trédrez-Locquémeau
48.28095984210413, -2.847819582785454;22;Côtes-d'Armor;22384;Uzel
47.52138230773197, -2.4041423968682887;56;Morbihan;56004;Arzal
48.06556930321227, -2.209424770654686;56;Morbihan;56043;Concoret
47.9238917257409, -2.479240366753593;56;Morbihan;56079;Guillac
48.06247593368657, -3.183175609307315;56;Morbihan;56113;Locmalo
47.582875033215466, -2.335521462533551;56;Morbihan;56153;Péaule
47.73253803650636, -3.4422692007023734;56;Morbihan;56162;Ploemeur
48.182188742531224, -3.0490203761273755;56;Morbihan;56203;Saint-Aignan
47.54718567907094, -2.172189889309245;56;Morbihan;56212;Saint-Dolay
47.660295516744036, -2.5622061105128604;56;Morbihan;56247;Sulniac
48.1533951717719, -3.9061505493124073;29;Finistère;29267;Saint-Thois
48.66430991853121, -4.071764793592539;29;Finistère;29276;Sibiril
48.39387180446539, -4.129534893088426;29;Finistère;29294;Le Tréhou
48.373140348965485, -2.013147856687605;22;Côtes-d'Armor;22274;Saint-André-des-Eaux
48.462517653803566, -2.2219142048526956;22;Côtes-d'Armor;22318;Saint-Michel-de-Plélan
48.5673467100913, -2.8833714458847868;22;Côtes-d'Armor;22356;Trégomeur
48.4679358135574, -2.6817276354156308;22;Côtes-d'Armor;22389;Yffiniac
48.31157405032765, -2.8670651337472943;22;Côtes-d'Armor;22001;Allineuc
48.337245775243694, -3.0959063599846113;22;Côtes-d'Armor;22029;Canihuel
48.205711014474254, -3.3880569640213585;22;Côtes-d'Armor;22061;Glomel
48.38674852310644, -2.683781581736478;22;Côtes-d'Armor;22079;Hénon
48.61487083619394, -3.2036352848070537;22;Côtes-d'Armor;22091;Kermoroc'h
48.65055054470595, -3.0090952031802667;22;Côtes-d'Armor;22112;Lannebert
48.423990652869634, -2.965116944345763;22;Côtes-d'Armor;22126;Le Leslay
48.52882253971148, -3.234921403671726;22;Côtes-d'Armor;22156;Moustéru
48.588027198469696, -3.2771017455559184;22;Côtes-d'Armor;22164;Pédernec
48.33814970468506, -2.676600308020385;22;Côtes-d'Armor;22184;Plémy
48.842911190343344, -3.134493849898723;22;Côtes-d'Armor;22195;Pleubian
47.313070086088764, -3.1927713996702525;56;Morbihan;56009;Bangor
47.74912688373098, -2.508143692028013;56;Morbihan;56045;Le Cours
47.58626575053529, -2.848731093417323;56;Morbihan;56087;Île-aux-Moines
47.955662011875916, -3.260336736016351;56;Morbihan;56089;Inguiniel
47.863584950824354, -2.2526792850730404;56;Morbihan;56191;Réminiac
48.089978473134174, -2.3612059051410808;56;Morbihan;56208;Saint-Brieuc-de-Mauron
47.71738999967653, -3.185303378732014;56;Morbihan;56220;Sainte-Hélène
47.79613523293631, -2.2178276833593005;56;Morbihan;56230;Saint-Nicolas-du-Tertre
48.40302260650541, -3.7657070439880784;29;Finistère;29007;Berrien
48.533046445871356, -4.381947749530848;29;Finistère;29047;Le Drennec
48.11942161458446, -3.960661264086226;29;Finistère;29048;Edern
48.61478365960004, -4.03268318122176;29;Finistère;29148;Mespaul
47.93295321514497, -4.359921988507206;29;Finistère;29214;Plovan
48.49845052430643, -4.754124168172735;29;Finistère;29221;Porspoder
48.23349195315418, -4.35726298659193;29;Finistère;29280;Telgruc-sur-Mer
48.62695640675765, -4.098753229840943;29;Finistère;29285;Tréflaouénan
48.09253100776219, -1.06077141597044;35;Ille-et-Vilaine;35038;Bréal-sous-Vitré
48.1388596292254, -1.3008218711245072;35;Ille-et-Vilaine;35052;Champeaux
48.59485566404594, -1.7155084136445806;35;Ille-et-Vilaine;35078;Cherrueix
47.997960656606374, -1.1329055924905396;35;Ille-et-Vilaine;35119;Gennes-sur-Seiche
48.41311522054373, -1.147800027000854;35;Ille-et-Vilaine;35142;Landéan
48.2193610307846, -1.6895816794364977;35;Ille-et-Vilaine;35173;Melesse
48.20467461202798, -1.120846454357211;35;Ille-et-Vilaine;35185;Montautour
48.11167956598057, -1.6818689569630096;35;Ille-et-Vilaine;35238;Rennes
48.01891266239769, -1.6426008975608934;35;Ille-et-Vilaine;35266;Saint-Erblon
48.57880347452856, -1.5496475224829838;35;Ille-et-Vilaine;35270;Saint-Georges-de-Gréhaigne
48.397526117226775, -1.2648445438594238;35;Ille-et-Vilaine;35273;Saint-Germain-en-Coglès
47.77488008436435, -2.049603208411056;35;Ille-et-Vilaine;35328;Sixt-sur-Aff
47.88050243578782, -1.5535180594703555;35;Ille-et-Vilaine;35343;Tresbœuf
48.49285533181018, -1.84141144421661;35;Ille-et-Vilaine;35362;Le Tronchet
48.56304026903393, -3.1008145779522356;22;Côtes-d'Armor;22272;Saint-Agathon
48.46600430528192, -1.9592638913150324;22;Côtes-d'Armor;22299;Saint-Hélen
48.486604566333924, -2.5922050460710464;22;Côtes-d'Armor;22044;Coëtmieux
48.60344887015755, -3.0228218900965196;22;Côtes-d'Armor;22065;Goudelin
48.48507006191167, -2.529991643442078;22;Côtes-d'Armor;22093;Lamballe-Armor
48.73497449558828, -3.2979764397394744;22;Côtes-d'Armor;22101;Langoat
48.39303484828071, -2.205712406659745;22;Côtes-d'Armor;22104;Languédias
48.7398955196288, -3.3575391923189737;22;Côtes-d'Armor;22110;Lanmérin
48.44322179655236, -2.7451057245552435;22;Côtes-d'Armor;22176;Plédran
48.55114767248558, -3.445163187208987;22;Côtes-d'Armor;22228;Plounévez-Moëdec
48.609775286003305, -2.400186098696598;22;Côtes-d'Armor;22242;Plurien
47.55716569325688, -2.541060006324297;56;Morbihan;56002;Ambon
47.732777450676636, -2.592960093624691;56;Morbihan;56053;Elven
48.02730310341024, -3.271658418321309;56;Morbihan;56110;Lignol
48.549890858189976, -1.691120521746967;35;Ille-et-Vilaine;35010;Baguer-Pican
48.12039966477695, -1.5972458503417073;35;Ille-et-Vilaine;35051;Cesson-Sévigné
48.06974242186027, -1.2159716374187075;35;Ille-et-Vilaine;35109;Étrelles
47.87259088418468, -1.8887569533413051;35;Ille-et-Vilaine;35155;Lohéac
48.05234962461086, -1.3387029247396556;35;Ille-et-Vilaine;35161;Louvigné-de-Bais
48.243955442979846, -1.7203958059464923;35;Ille-et-Vilaine;35193;Montreuil-le-Gast
48.15115236109369, -1.2425898870442573;35;Ille-et-Vilaine;35194;Montreuil-sous-Pérouse
48.172505049918755, -1.111556875085379;35;Ille-et-Vilaine;35300;Saint-M'Hervé
48.323509655712265, -1.8299439794584789;35;Ille-et-Vilaine;35337;Tinténiac
48.45567754195919, -1.2192774470159629;35;Ille-et-Vilaine;35357;Villamée
48.274461596785976, -4.1076167058104955;29;Finistère;29302;Pont-de-Buis-lès-Quimerch
47.93523952370625, -3.695212815025375;29;Finistère;29004;Bannalec
48.506149690265225, -3.6287837986547244;29;Finistère;29014;Botsorhel
47.89816997127278, -4.082832727881424;29;Finistère;29032;Clohars-Fouesnant
48.21777614260057, -4.166686864651242;29;Finistère;29044;Dinéault
48.40085118131671, -4.26921133774732;29;Finistère;29045;Dirinon
48.44670208782615, -4.463234125883929;29;Finistère;29061;Gouesnou
48.39650638263539, -4.95860984970815;29;Finistère;29084;Île-Molène
48.281224839702475, -4.312661984824064;29;Finistère;29104;Landévennec
48.301668236340326, -4.034668296165992;29;Finistère;29139;Lopérec
48.44370716796157, -4.221167925857598;29;Finistère;29156;Pencran
47.97220404641501, -4.1875241109393455;29;Finistère;29216;Pluguffan
47.849123976536085, -3.6905107071999694;29;Finistère;29236;Riec-sur-Bélon
47.54765744203478, -2.886464038848551;56;Morbihan;56005;Arzon
47.63722433884246, -3.4644761751791946;56;Morbihan;56069;Groix
48.06611191464081, -3.2051833697041263;56;Morbihan;56073;Guémené-sur-Scorff
47.9055067349007, -2.966481981411289;56;Morbihan;56074;Guénin
47.96792156977051, -2.4806362850750405;56;Morbihan;56082;Helléan
47.591963819727845, -2.8997921187499434;56;Morbihan;56106;Larmor-Baden
47.87844284994598, -2.192895885410667;56;Morbihan;56136;Monteneuf
47.47302973813386, -2.4654232649936008;56;Morbihan;56155;Pénestin
47.81404592636183, -2.28506411244851;56;Morbihan;56200;Ruffiac
47.83129040634996, -2.7272304215734207;56;Morbihan;56222;Saint-Jean-Brévelay
47.89919590241829, -2.512034836689277;56;Morbihan;56236;Saint-Servant
47.96263948003823, -2.44267556831762;56;Morbihan;56249;Taupont
47.636953131156666, -2.939218023145027;56;Morbihan;56262;Le Bono
48.404115341161514, -2.7497303856617274;22;Côtes-d'Armor;22281;Saint-Carreuc
48.36187051088316, -2.0544040793248772;22;Côtes-d'Armor;22308;Saint-Juvat
48.49142544779024, -2.0186274562777173;22;Côtes-d'Armor;22327;Saint-Samson-sur-Rance
48.3456874173447, -2.5576675063953207;22;Côtes-d'Armor;22345;Trébry
48.61356896560643, -3.4381657002665205;22;Côtes-d'Armor;22387;Le Vieux-Marché
48.46712529195602, -2.2649305685662817;22;Côtes-d'Armor;22014;Bourseul
48.44062078647692, -3.4755663949139017;22;Côtes-d'Armor;22024;Calanhel
48.18009823823096, -2.4920269673041373;22;Côtes-d'Armor;22062;Gomené
48.42207408910222, -2.541774101454152;22;Côtes-d'Armor;22098;Landéhen
48.63483483497731, -2.9483662165981883;22;Côtes-d'Armor;22177;Pléguien
48.426818874411204, -2.224119382295178;22;Côtes-d'Armor;22180;Plélan-le-Petit
48.5494298690965, -4.289532649173262;29;Finistère;29288;Trégarantec
48.319461337799964, -3.9502985766764875;29;Finistère;29016;Brasparts
48.471187096978994, -4.687127834037883;29;Finistère;29017;Brélès
48.623832019315394, -4.295728583726178;29;Finistère;29064;Goulven
48.53185675701634, -3.587703927159778;29;Finistère;29067;Guerlesquin
48.54314706557307, -3.9798045375770723;29;Finistère;29068;Guiclan
48.43068081836312, -4.3964404319991;29;Finistère;29075;Guipavas
48.61708425764093, -4.411605619883663;29;Finistère;29077;Guissény
48.560967608487516, -4.3826960023339225;29;Finistère;29100;Lanarvily
48.05668867459854, -3.9778274656680614;29;Finistère;29107;Landudal
48.623753872217286, -3.8635049658216465;29;Finistère;29132;Locquénolé
48.600172746985365, -3.820230290300184;29;Finistère;29151;Morlaix
48.55368420875413, -4.07331961037924;29;Finistère;29193;Plougourvest
48.521824143118046, -3.800356241427641;29;Finistère;29207;Plourin-lès-Morlaix
47.98289539329704, -4.409595620065422;29;Finistère;29215;Plozévet
48.28470455026268, -1.8935771677866975;35;Ille-et-Vilaine;35050;Cardroc
48.23539084784159, -1.571414344792969;35;Ille-et-Vilaine;35067;Chasné-sur-Illet
47.90217122331372, -1.2601964724962464;35;Ille-et-Vilaine;35102;Drouges
48.12210406716139, -1.816343492594703;35;Ille-et-Vilaine;35131;L'Hermitage
47.942818393168494, -1.5008217042548893;35;Ille-et-Vilaine;35136;Janzé
48.26119123572668, -2.060997795729424;35;Ille-et-Vilaine;35171;Médréac
48.21264921821098, -1.750675484838395;35;Ille-et-Vilaine;35177;La Mézière
48.305603944104526, -1.6688110108352618;35;Ille-et-Vilaine;35195;Montreuil-sur-Ille
48.30379956003011, -1.843296277109194;35;Ille-et-Vilaine;35258;Saint-Brieuc-des-Iffs
48.620029946915494, -2.096785519080407;35;Ille-et-Vilaine;35287;Saint-Lunaire
48.6386564332079, -1.905853879101373;35;Ille-et-Vilaine;35299;Saint-Méloir-des-Ondes
48.33563642058643, -1.9317864716205941;35;Ille-et-Vilaine;35318;Saint-Thual
47.89317340716374, -3.442755410196712;29;Finistère;29002;Arzano
48.09378616574339, -4.020431759963829;29;Finistère;29020;Briec
48.459764066341506, -3.792460092776704;29;Finistère;29034;Le Cloître-Saint-Thégonnec
47.8871419559671, -4.164161134106372;29;Finistère;29037;Combrit
48.08013693636966, -4.328018989613503;29;Finistère;29046;Douarnenez
48.483723613082184, -4.040465447415244;29;Finistère;29097;Lampaul-Guimiliau
48.127500970380616, -4.23929751807622;29;Finistère;29176;Plonévez-Porzay
48.67741339588434, -3.8117441993924177;29;Finistère;29188;Plougasnou
48.60173440857641, -4.292695500691613;29;Finistère;29198;Plouider
48.55742195774306, -2.293196544819061;22;Côtes-d'Armor;22323;Saint-Pôtan
48.24329965511069, -2.456955340483327;22;Côtes-d'Armor;22333;Saint-Vran
48.791135560533206, -3.2010945470937124;22;Côtes-d'Armor;22347;Trédarzec
48.191345434020995, -2.302331099455107;22;Côtes-d'Armor;22371;Trémorel
48.46614145008935, -3.1998492745005143;22;Côtes-d'Armor;22013;Bourbriac
48.42601578193849, -1.9776790432863975;22;Côtes-d'Armor;22035;Les Champs-Géraux
48.616854697979164, -2.8378636783415674;22;Côtes-d'Armor;22055;Binic-Étables-sur-Mer
48.38491069365288, -1.9800607383794606;22;Côtes-d'Armor;22056;Évran
48.41742839393511, -2.9149768281574744;22;Côtes-d'Armor;22059;Le Fœil
48.215038335689826, -2.5190952972110403;22;Côtes-d'Armor;22122;Laurenan
48.685540104635514, -3.4484114804534305;22;Côtes-d'Armor;22211;Ploubezre
48.49714890248999, -2.925240294524288;22;Côtes-d'Armor;22234;Plouvara
48.08348673581315, -2.4049653661568677;56;Morbihan;56056;Évriguet
47.48718108731061, -2.339652977867133;56;Morbihan;56058;Férel
47.7687942559813, -3.3274296933541865;56;Morbihan;56098;Lanester
47.302152147803476, -3.1053033023452077;56;Morbihan;56114;Locmaria
47.782651014104715, -3.0158710069031223;56;Morbihan;56177;Pluvigner
47.70238787094818, -2.148390402029292;56;Morbihan;56239;Saint-Vincent-sur-Oust
47.82485754860198, -2.497398685678352;56;Morbihan;56244;Sérent
47.70040779589602, -2.9528589698396592;56;Morbihan;56263;Sainte-Anne-d'Auray
48.166811917886925, -2.0835775790376387;35;Ille-et-Vilaine;35027;Boisgervilly
48.13824145402763, -1.910451545037365;35;Ille-et-Vilaine;35040;Breteil
48.6247418029858, -2.062086402017181;35;Ille-et-Vilaine;35093;Dinard
48.11397790627641, -2.0241562248166636;35;Ille-et-Vilaine;35133;Iffendic
48.30953814835501, -1.9411034906786995;35;Ille-et-Vilaine;35156;Longaulnay
48.44149587152473, -1.7327307872197084;35;Ille-et-Vilaine;35159;Lourmais
48.03460846669007, -1.056081623909977;35;Ille-et-Vilaine;35217;Le Pertre
47.927969795330114, -1.6162236966639998;35;Ille-et-Vilaine;35218;Le Petit-Fougeray
48.582681829103976, -2.060106288244273;35;Ille-et-Vilaine;35228;Pleurtuit
47.8989836970104, -1.6860818941533022;35;Ille-et-Vilaine;35231;Poligné
48.6158843649785, -2.1235133068874013;35;Ille-et-Vilaine;35256;Saint-Briac-sur-Mer
48.37610453586513, -1.5664239134957254;35;Ille-et-Vilaine;35309;Saint-Rémy-du-Plain
48.502289590770985, -1.5150621072780759;35;Ille-et-Vilaine;35329;Sougeal
47.848547896109274, -1.4580345179839755;35;Ille-et-Vilaine;35335;Thourie
48.344763833256536, -1.8972282370570666;35;Ille-et-Vilaine;35346;Trimer
48.10582591488604, -3.871582204648712;29;Finistère;29291;Trégourez
48.06146968440684, -3.3732071947699174;56;Morbihan;56048;Le Croisty
48.13184756976042, -3.4812112681866423;56;Morbihan;56100;Langonnet
47.88013020822618, -2.8375421312081484;56;Morbihan;56117;Locminé
48.06903632791677, -3.056520701038632;56;Morbihan;56125;Malguénac
47.67843128549341, -2.9458249937630443;56;Morbihan;56176;Pluneret
47.83935112378915, -3.4196205208909642;56;Morbihan;56179;Pont-Scorff
47.865270438266364, -3.365176418549055;56;Morbihan;56040;Cléguer
48.51024406560141, -2.421403787476828;22;Côtes-d'Armor;22261;Quintenic
48.42252057412616, -3.0064778314205967;22;Côtes-d'Armor;22291;Saint-Gildas
48.552569489421266, -3.0344991184971084;22;Côtes-d'Armor;22304;Saint-Jean-Kerdaniel
48.4544806876825, -2.182546600838218;22;Côtes-d'Armor;22315;Saint-Maudez
48.246377971630956, -2.840952357786138;22;Côtes-d'Armor;22330;Saint-Thélo
48.11585194959232, -2.115548709357491;35;Ille-et-Vilaine;35026;Bléruais
47.951365065545936, -1.5505641619247028;35;Ille-et-Vilaine;35041;Brie
48.19332401145025, -1.3799025561590517;35;Ille-et-Vilaine;35101;Dourdain
48.21331706172669, -1.7990054643715325;35;Ille-et-Vilaine;35120;Gévezé
48.37969385527992, -1.1528904591638076;35;Ille-et-Vilaine;35138;Laignelet
47.91752457260718, -1.2794087675472177;35;Ille-et-Vilaine;35199;Moussé
48.46597819707766, -1.256584978968836;35;Ille-et-Vilaine;35230;Poilley
48.05682234399225, -2.0645269259210486;35;Ille-et-Vilaine;35305;Saint-Péran
48.11767166084482, -1.7492456301085477;35;Ille-et-Vilaine;35353;Vezin-le-Coquet
48.11411110392002, -1.1934825616829488;35;Ille-et-Vilaine;35360;Vitré
48.49410497493759, -2.5510433254576497;22;Côtes-d'Armor;22002;Andel
48.46832061079392, -2.9849252040192678;22;Côtes-d'Armor;22011;Boqueho
48.64929062701858, -3.227795253843802;22;Côtes-d'Armor;22018;Brélidy
48.40509142929895, -2.025985496611696;22;Côtes-d'Armor;22026;Calorguen
48.30991342390647, -3.037664422933633;22;Côtes-d'Armor;22047;Corlay
