Geo Point;Code département;Libellé département;CODGEO;Libellé Commune
48.288071874347686, -3.410398312983865;22;Côtes-d'Armor;22137;Maël-Carhaix
48.193666253812545, -2.3962263250940814;22;Côtes-d'Armor;22147;Merdrignac
48.249932901208375, -2.391016176335452;22;Côtes-d'Armor;22148;Mérillac
48.20148379493991, -2.9579644187448335;22;Côtes-d'Armor;22158;Guerlédan
48.3633623991001, -3.2850971954653323;22;Côtes-d'Armor;22169;Peumerit-Quintin
48.59482857983857, -2.3335886850339618;22;Côtes-d'Armor;22174;Pléboulle
48.468676894060096, -2.3716237728696155;22;Côtes-d'Armor;22175;Plédéliac
48.24037676760562, -2.8979149686613312;22;Côtes-d'Armor;22260;Le Quillio
48.391153831609444, -3.852120077831934;29;Finistère;29054;La Feuillée
48.41910761330982, -4.562254932280249;29;Finistère;29069;Guilers
48.43704686558675, -4.169956269532001;29;Finistère;29144;La Martyre
47.81233052276366, -4.341450919809526;29;Finistère;29158;Penmarch
47.935833589390114, -4.15009510373057;29;Finistère;29170;Plomelin
48.537582319699936, -4.6697345611895695;29;Finistère;29178;Ploudalmézeau
48.04015419009224, -4.326541284120877;29;Finistère;29224;Pouldergat
47.856152094565374, -3.555022112400577;29;Finistère;29233;Quimperlé
48.61584518217856, -3.2429792563607864;22;Côtes-d'Armor;22310;Saint-Laurent
48.487864499900226, -2.0542220825272572;22;Côtes-d'Armor;22339;Taden
48.46571474215161, -3.4399666603374586;22;Côtes-d'Armor;22037;La Chapelle-Neuve
48.637650509074476, -3.2048713656243346;22;Côtes-d'Armor;22095;Landebaëron
48.601615150300745, -2.2901490021441537;22;Côtes-d'Armor;22143;Matignon
48.35828488139576, -2.633834275073219;22;Côtes-d'Armor;22153;Moncontour
48.81700826489818, -3.301898392456582;22;Côtes-d'Armor;22166;Penvénan
48.285371578031594, -3.24079164125249;22;Côtes-d'Armor;22229;Plounévez-Quintin
48.35648212102285, -2.115087696133466;22;Côtes-d'Armor;22239;Plumaudan
48.24543099765484, -2.2308622835043583;22;Côtes-d'Armor;22240;Plumaugat
48.69979623594092, -3.1591538791565714;22;Côtes-d'Armor;22250;Pontrieux
48.375417872633165, -2.96712057246496;22;Côtes-d'Armor;22276;Saint-Bihy
48.2664014945255, -2.178668219985802;22;Côtes-d'Armor;22305;Saint-Jouan-de-l'Isle
48.366928813953095, -4.201410807644828;29;Finistère;29086;Irvillac
48.58916524739115, -4.57675680630691;29;Finistère;29101;Landéda
48.10057890067153, -3.7785032101202103;29;Finistère;29125;Leuhan
47.806298657338104, -3.645596039415908;29;Finistère;29150;Moëlan-sur-Mer
48.52304886903614, -4.313790072614656;29;Finistère;29179;Ploudaniel
47.961160213664726, -4.3638563976131906;29;Finistère;29225;Pouldreuzic
47.85540573677962, -3.4870644099357286;29;Finistère;29234;Rédené
48.44396511019734, -1.1096719466145948;35;Ille-et-Vilaine;35018;La Bazouge-du-Désert
48.346757745802186, -1.155558321320474;35;Ille-et-Vilaine;35021;Beaucé
48.0674377367923, -1.4062201329912196;35;Ille-et-Vilaine;35096;Domagné
48.35276718322625, -1.1944135772968316;35;Ille-et-Vilaine;35115;Fougères
48.25038062935976, -1.4586632867491638;35;Ille-et-Vilaine;35121;Gosné
47.92342051419802, -1.861984115368674;35;Ille-et-Vilaine;35127;Guignen
48.35987469826374, -1.2210261111294776;35;Ille-et-Vilaine;35150;Lécousse
48.4006355517509, -1.3457276180254811;35;Ille-et-Vilaine;35257;Maen Roch
47.910001473653764, -1.7900153160392098;35;Ille-et-Vilaine;35312;Saint-Senoux
48.280270451880995, -1.8031497826557576;35;Ille-et-Vilaine;35317;Saint-Symphorien
47.523495299753975, -2.4793785331757707;56;Morbihan;56018;Billiers
47.47762243008124, -2.3986933068284566;56;Morbihan;56030;Camoël
48.0389554147166, -2.764997915237353;56;Morbihan;56047;Crédin
48.00158379181695, -2.503986676988169;56;Morbihan;56068;La Grée-Saint-Laurent
48.04277072023759, -3.623328046984369;56;Morbihan;56081;Guiscriff
47.86442252308834, -2.5202256465911703;56;Morbihan;56112;Lizio
47.75071301573847, -3.378920874280433;56;Morbihan;56121;Lorient
47.68638203395812, -2.2995056184155915;56;Morbihan;56123;Malansac
47.65952820825363, -3.0715583479256647;56;Morbihan;56161;Ploemel
47.72780536638552, -2.922868931598799;56;Morbihan;56175;Plumergat
48.055586046532774, -3.4350791454637206;56;Morbihan;56182;Priziac
47.87082503330259, -2.431661683383462;56;Morbihan;56197;Val d'Oust
48.26815074995694, -4.586871402544252;29;Finistère;29022;Camaret-sur-Mer
48.2029550902763, -4.073744375880054;29;Finistère;29026;Châteaulin
48.188821339429424, -3.8208583033939227;29;Finistère;29027;Châteauneuf-du-Faou
48.324254487392075, -4.2388133557759415;29;Finistère;29080;Hôpital-Camfrout
48.46635819950866, -4.634545220768509;29;Finistère;29119;Lanrivoaré
48.21979760019313, -3.562673865944389;29;Finistère;29152;Motreff
47.91484621756746, -4.046040349143941;29;Finistère;29161;Pleuven
48.21780102241249, -4.081891745393643;29;Finistère;29222;Port-Launay
48.02898111578937, -4.60524582085726;29;Finistère;29228;Primelin
48.67261399484696, -3.9889649514467895;29;Finistère;29259;Saint-Pol-de-Léon
48.426043886661304, -4.624003302341501;29;Finistère;29260;Saint-Renan
47.34273429458029, -3.1709176899174105;56;Morbihan;56152;Le Palais
47.6639367378623, -2.436508004592603;56;Morbihan;56184;Questembert
47.622136914307184, -2.7256573133532584;56;Morbihan;56243;Séné
47.782988933049744, -2.5839695865792764;56;Morbihan;56254;Trédion
47.659813652734925, -2.7570920082373913;56;Morbihan;56260;Vannes
47.6338754295188, -2.822766188601684;56;Morbihan;56003;Arradon
47.7093568711551, -3.024141482094121;56;Morbihan;56023;Brech
47.608567559914185, -3.069971633151609;56;Morbihan;56034;Carnac
47.58078600008399, -2.6908809432970564;56;Morbihan;56084;Le Hézo
48.12100982810686, -3.2332287847259904;56;Morbihan;56099;Langoëlan
47.7639395290285, -2.758140173118313;56;Morbihan;56120;Locqueltas
48.771017043640185, -3.5580091279400636;22;Côtes-d'Armor;22343;Trébeurden
47.99496011515991, -1.9294063847538778;35;Ille-et-Vilaine;35016;Baulon
47.98862388712728, -1.6223991612889899;35;Ille-et-Vilaine;35032;Bourgbarré
48.04492350696027, -1.7064516656360236;35;Ille-et-Vilaine;35066;Chartres-de-Bretagne
48.44064614594325, -1.656344059125251;35;Ille-et-Vilaine;35092;Cuguen
48.486613019908745, -1.2942127683040119;35;Ille-et-Vilaine;35111;Le Ferré
47.85191925409779, -1.92967717636341;35;Ille-et-Vilaine;35151;Lieuron
47.888673808518696, -1.6428361004605478;35;Ille-et-Vilaine;35212;Pancé
47.811361304044496, -1.9372965526785553;35;Ille-et-Vilaine;35219;Pipriac
48.48772160693331, -1.6037968840587815;35;Ille-et-Vilaine;35339;Trans-la-Forêt
48.25694634287076, -1.7636273940686726;35;Ille-et-Vilaine;35356;Vignoc
48.41461576165647, -2.0974341309190154;22;Côtes-d'Armor;22008;Bobital
48.40610977170293, -2.326899750070944;22;Côtes-d'Armor;22084;Jugon-les-Lacs
48.359078803487385, -3.215236306567682;22;Côtes-d'Armor;22115;Lanrivain
48.53038727713945, -2.989574473485287;22;Côtes-d'Armor;22206;Châtelaudren-Plouagat
48.23416976040906, -3.2473071374026845;22;Côtes-d'Armor;22220;Plouguernével
47.96262010750973, -2.277924981820969;56;Morbihan;56032;Campénéac
47.85579450250145, -2.93397995834822;56;Morbihan;56039;La Chapelle-Neuve
47.99237994979548, -2.384305871875876;56;Morbihan;56122;Loyat
47.72395754978962, -2.7738628523179605;56;Morbihan;56132;Meucon
47.5644859115809, -2.713019387361542;56;Morbihan;56205;Saint-Armel
47.77943318180255, -2.5022988615517403;56;Morbihan;56219;Saint-Guyomard
48.091182728513246, -2.2637386009878937;56;Morbihan;56225;Saint-Léry
47.589989907153516, -3.0363233554844227;56;Morbihan;56258;La Trinité-sur-Mer
48.66983686509369, -3.1374360172938354;22;Côtes-d'Armor;22283;Saint-Clet
48.44238852383879, -2.2570287304713066;22;Côtes-d'Armor;22317;Saint-Méloir-des-Bois
48.322747608871424, -3.1643533662853915;22;Côtes-d'Armor;22321;Saint-Nicolas-du-Pélem
48.48253156312096, -3.0907309023369103;22;Côtes-d'Armor;22322;Saint-Péver
48.604910145622725, -3.6178954777311847;22;Côtes-d'Armor;22366;Trémel
48.7832070650471, -3.3154023929294625;22;Côtes-d'Armor;22028;Camlez
48.544781542331755, -3.1824290792102907;22;Côtes-d'Armor;22067;Grâces
48.53792668096101, -2.4478386890533526;22;Côtes-d'Armor;22077;Hénansal
48.14444310436233, -2.336130932655529;22;Côtes-d'Armor;22083;Illifaut
48.73687170732632, -3.0314775082213297;22;Côtes-d'Armor;22086;Kerfot
48.509790586279045, -3.4097689488209104;22;Côtes-d'Armor;22129;Loc-Envel
48.561118148300984, -3.3409028444766324;22;Côtes-d'Armor;22135;Louargat
48.451111692186544, -2.4637973567577154;22;Côtes-d'Armor;22160;Noyal
48.50951544309431, -1.9412624801936378;22;Côtes-d'Armor;22197;Pleudihen-sur-Rance
48.71683177824035, -3.1808589207836055;22;Côtes-d'Armor;22204;Ploëzal
48.68202883059129, -2.931517174565538;22;Côtes-d'Armor;22222;Plouha
48.718037956613536, -3.500172435990223;22;Côtes-d'Armor;22224;Ploulec'h
48.41850510629578, -3.5517448855804483;22;Côtes-d'Armor;22231;Plourac'h
48.66623575223378, -2.986204337744563;22;Côtes-d'Armor;22236;Pludual
48.610934256721144, -3.5724334146423677;22;Côtes-d'Armor;22238;Plufur
48.2782231526076, -3.0655453547562916;22;Côtes-d'Armor;22244;Plussulien
48.69995953420054, -3.108932114402417;22;Côtes-d'Armor;22256;Quemper-Guézennec
48.4427800195455, -3.5945040897576557;29;Finistère;29012;Bolazec
48.65265646259037, -4.330026301718726;29;Finistère;29021;Plounéour-Brignogan-plages
48.506020855819415, -4.5397719977914175;29;Finistère;29035;Coat-Méal
48.553746506278976, -4.647871865751587;29;Finistère;29099;Lampaul-Ploudalmézeau
48.498179864794736, -3.665268595146401;29;Finistère;29114;Lannéanou
48.475723095066506, -4.092368553481046;29;Finistère;29128;Loc-Eguiner
47.8250080388282, -4.187716209185317;29;Finistère;29135;Loctudy
48.46073783006469, -5.08600138882629;29;Finistère;29155;Ouessant
48.23806529764443, -3.975576007013348;29;Finistère;29162;Pleyben
48.18095314958231, -4.217323897912878;29;Finistère;29172;Plomodiern
48.71197473807686, -3.9886850107195486;29;Finistère;29239;Roscoff
48.475284354025746, -1.661158544649374;35;Ille-et-Vilaine;35044;Broualan
47.89071922130091, -2.0560380850975495;35;Ille-et-Vilaine;35046;Les Brulais
48.0820254003614, -1.6038647846199452;35;Ille-et-Vilaine;35055;Chantepie
48.29244715061501, -1.723622895613564;35;Ille-et-Vilaine;35128;Guipel
48.247668314149585, -2.008432436445526;35;Ille-et-Vilaine;35143;Landujan
48.1261161434467, -1.9639345184295152;35;Ille-et-Vilaine;35188;Montfort-sur-Meu
48.1880715437502, -1.8291188225841772;35;Ille-et-Vilaine;35216;Parthenay-de-Bretagne
48.609214414462805, -2.0437149492683195;35;Ille-et-Vilaine;35241;La Richardais
48.596239897299675, -1.5931992031261517;35;Ille-et-Vilaine;35247;Roz-sur-Couesnon
48.16947558230001, -2.1556775354042856;35;Ille-et-Vilaine;35302;Saint-Onen-la-Chapelle
48.5841256650766, -1.929248121761322;35;Ille-et-Vilaine;35306;Saint-Père-Marc-en-Poulet
47.60273636562616, -2.2442414016131775;56;Morbihan;56011;Béganne
47.963765107231076, -2.5110350364629657;56;Morbihan;56050;La Croix-Helléan
47.63706473892732, -3.1561586506590404;56;Morbihan;56054;Erdeven
47.590968492306395, -2.399740715698938;56;Morbihan;56077;Le Guerno
47.91735560263944, -2.3799161293791484;56;Morbihan;56165;Ploërmel
47.6611588818021, -2.897916011970352;56;Morbihan;56167;Plougoumelen
47.69863422641511, -2.6659511688309054;56;Morbihan;56231;Saint-Nolff
47.522657330469094, -3.138489953257468;56;Morbihan;56234;Saint-Pierre-Quiberon
48.102464594065424, -3.1517318372524654;56;Morbihan;56242;Séglien
48.00845467578489, -3.3290863875385863;56;Morbihan;56264;Kernascléden
48.29150283144146, -3.771339346619694;29;Finistère;29036;Collorec
48.02537738841695, -4.2695900628292165;29;Finistère;29065;Gourlizon
48.48167353539161, -3.997089830041908;29;Finistère;29074;Guimiliau
47.85368984962777, -4.160682693777692;29;Finistère;29085;Île-Tudy
47.92400600666529, -3.4855835159260575;29;Finistère;29136;Locunolé
47.8985632538431, -3.587911742183202;29;Finistère;29147;Mellac
47.977414993882434, -4.2637804082560535;29;Finistère;29167;Plogastel-Saint-Germain
48.48285319960529, -4.2527271618386395;29;Finistère;29181;Plouédern
48.29765717845717, -1.5958140874051243;35;Ille-et-Vilaine;35003;Andouillé-Neuville
48.312947500624276, -1.8966169156764674;35;Ille-et-Vilaine;35017;La Baussaine
48.44063188554587, -1.563598386619256;35;Ille-et-Vilaine;35019;Bazouges-la-Pérouse
47.921454498039566, -1.7222911361365694;35;Ille-et-Vilaine;35033;Bourg-des-Comptes
48.38167275542124, -1.8180490445944262;35;Ille-et-Vilaine;35056;La Chapelle-aux-Filtzméens
48.21577942205229, -1.9935190861582797;35;Ille-et-Vilaine;35060;La Chapelle du Lou du Lac
48.056321999554854, -1.7865485555526568;35;Ille-et-Vilaine;35076;Chavagne
48.26624655642658, -1.2644591815512451;35;Ille-et-Vilaine;35086;Combourtillé
48.11849227702529, -2.228619220252467;35;Ille-et-Vilaine;35117;Gaël
47.734207580870034, -1.728304575925691;35;Ille-et-Vilaine;35124;Grand-Fougeray
47.96534796477551, -1.7902098233955697;35;Ille-et-Vilaine;35126;Guichen
48.00878165450204, -1.362901013870492;35;Ille-et-Vilaine;35198;Moulins
47.98521340354542, -1.6657663932979176;35;Ille-et-Vilaine;35208;Orgères
48.23755185094209, -1.1058560885692104;35;Ille-et-Vilaine;35232;Princé
47.7698240986416, -1.891042957420449;35;Ille-et-Vilaine;35268;Saint-Ganton
48.26812837539284, -1.8253709079345006;35;Ille-et-Vilaine;35276;Saint-Gondran
48.12118832020811, -1.3397883210165715;35;Ille-et-Vilaine;35283;Saint-Jean-sur-Vilaine
48.09117072197027, -1.9261355341713093;35;Ille-et-Vilaine;35331;Talensac
48.32624169771798, -2.9213545296739416;22;Côtes-d'Armor;22009;Le Bodéo
48.31131192288653, -2.2409231184102447;22;Côtes-d'Armor;22020;Broons
48.7679732173215, -3.259390093495907;22;Côtes-d'Armor;22152;Minihy-Tréguier
48.5540365817355, -2.9276114233388237;22;Côtes-d'Armor;22182;Plélo
48.800469646874966, -3.151540920684789;22;Côtes-d'Armor;22199;Pleumeur-Gautier
48.40593968834034, -2.162912929257299;22;Côtes-d'Armor;22342;Trébédan
48.45524442271936, -3.052646449276801;22;Côtes-d'Armor;22289;Saint-Fiacre
48.442756624027034, -2.420467597223518;22;Côtes-d'Armor;22326;Saint-Rieul
48.26576439236164, -3.169668269937842;22;Côtes-d'Armor;22331;Sainte-Tréphine
48.6593111264371, -3.055159337958461;22;Côtes-d'Armor;22378;Trévérec
48.588844088813886, -4.146283030998401;29;Finistère;29271;Saint-Vougay
48.25087343243222, -1.2279119961226739;35;Ille-et-Vilaine;35192;Montreuil-des-Landes
47.734162119142376, -1.8051525743159136;35;Ille-et-Vilaine;35249;Sainte-Anne-sur-Vilaine
48.16699659038882, -2.032800711301364;35;Ille-et-Vilaine;35320;Saint-Uniac
48.353174401247955, -2.5212768301020363;22;Côtes-d'Armor;22296;Saint-Glen
48.365029012625335, -2.223155357652727;22;Côtes-d'Armor;22348;Trédias
48.600294369291674, -2.9427837937593764;22;Côtes-d'Armor;22361;Tréguidel
48.67136101756008, -3.03217825848345;22;Côtes-d'Armor;22370;Tréméven
48.68215456074493, -3.3524096713925564;22;Côtes-d'Armor;22034;Cavan
48.364888158360685, -3.436003914924763;22;Côtes-d'Armor;22052;Duault
48.23557643640287, -3.1955906946679757;22;Côtes-d'Armor;22064;Gouarec
48.157236237898246, -2.850013769833973;22;Côtes-d'Armor;22075;Hémonstoir
48.502995294821886, -2.6462131760070013;22;Côtes-d'Armor;22081;Hillion
48.49956508747752, -3.0433156865257875;22;Côtes-d'Armor;22116;Lanrodec
48.50442394473271, -2.846723598380565;22;Côtes-d'Armor;22144;La Méaugon
48.77341237427662, -3.0547770418859117;22;Côtes-d'Armor;22162;Paimpol
48.61949008013532, -3.483272137839892;22;Côtes-d'Armor;22207;Plouaret
48.804943058278226, -3.2446560431653406;22;Côtes-d'Armor;22221;Plouguiel
48.66034559095374, -4.124319206412822;29;Finistère;29030;Cléder
47.896435981192745, -3.9071513793560153;29;Finistère;29039;Concarneau
48.25300420218527, -3.7327951041798424;29;Finistère;29102;Landeleau
48.45110778868429, -4.264152882864628;29;Finistère;29103;Landerneau
48.57328848849654, -3.7022202573445995;29;Finistère;29199;Plouigneau
47.89187231728197, -2.6517329622327597;56;Morbihan;56071;Guéhenno
48.082675254589866, -2.30488412850214;56;Morbihan;56127;Mauron
48.063249622293256, -2.494915427060074;56;Morbihan;56134;Mohon
47.88592081355021, -2.4124209411925968;56;Morbihan;56139;Montertelot
47.55502560521471, -2.473644827437379;56;Morbihan;56143;Muzillac
47.540561725281044, -2.2494579097292977;56;Morbihan;56147;Nivillac
47.98629313245643, -2.7712503114044647;56;Morbihan;56190;Réguiny
47.69896173883659, -2.3444262448221584;56;Morbihan;56196;Rochefort-en-Terre
47.92686711039739, -3.040579741344012;56;Morbihan;56207;Saint-Barthélemy
48.03838434382862, -2.9948429016233993;56;Morbihan;56246;Le Sourn
47.56910676178286, -2.6271913749077926;56;Morbihan;56248;Surzur
47.804975811831454, -4.26009056247007;29;Finistère;29284;Treffiagat
47.88858678599208, -3.6570293688059947;29;Finistère;29300;Le Trévoux
47.82336434613855, -2.131028165665454;56;Morbihan;56033;Carentoir
47.760816765921426, -2.8478131152783255;56;Morbihan;56067;Grand-Champ
47.339889888662, -2.8753678365989876;56;Morbihan;56085;Hœdic
47.97277877122732, -2.9925339103473383;56;Morbihan;56173;Pluméliau-Bieuzy
47.605817801029794, -2.1256966107187445;56;Morbihan;56194;Rieux
47.90835139995338, -2.7361819755634085;56;Morbihan;56204;Saint-Allouestre
48.12582534886036, -2.821060725817409;56;Morbihan;56215;Saint-Gonnery
48.00979169793487, -1.8390688459781963;35;Ille-et-Vilaine;35123;Goven
47.66121677716608, -2.080163096315868;35;Ille-et-Vilaine;35236;Redon
48.580120704277945, -1.661163473535528;35;Ille-et-Vilaine;35259;Saint-Broladre
48.604497609140765, -3.8991030319172117;29;Finistère;29279;Taulé
47.83821373494853, -3.8410619959153665;29;Finistère;29293;Trégunc
47.87555375485843, -3.0307099983174473;56;Morbihan;56010;Baud
48.0487271042869, -3.5087308396441728;56;Morbihan;56057;Le Faouët
48.091605297488854, -2.8104604382610545;56;Morbihan;56072;Gueltas
47.71595596230368, -3.3916413086225505;56;Morbihan;56107;Larmor-Plage
47.58787837716465, -3.00079923142119;56;Morbihan;56233;Saint-Philibert
48.561815546029436, -2.3352456790830622;22;Côtes-d'Armor;22268;Ruca
48.27739267784361, -3.1144886899529576;22;Côtes-d'Armor;22334;Saint-Igeaux
48.216250324759606, -2.807523428832321;22;Côtes-d'Armor;22376;Trévé
48.75438431411275, -3.361107047764407;22;Côtes-d'Armor;22381;Trézény
48.50486664150201, -1.7716881536540086;35;Ille-et-Vilaine;35009;Baguer-Morvan
48.177905964758736, -1.1832423280670892;35;Ille-et-Vilaine;35015;Balazé
48.025913217225295, -1.7485061399065818;35;Ille-et-Vilaine;35047;Bruz
47.85485770094006, -1.2435247407855508;35;Ille-et-Vilaine;35077;Chelun
48.20413216246477, -1.5143753230436945;35;Ille-et-Vilaine;35152;Liffré
48.4867985675941, -1.1234790001978698;35;Ille-et-Vilaine;35162;Louvigné-du-Désert
48.512338496445295, -1.1758867054555608;35;Ille-et-Vilaine;35190;Monthault
48.34454262393609, -1.262507054726637;35;Ille-et-Vilaine;35243;Romagné
48.613511745345676, -1.8610522192468053;35;Ille-et-Vilaine;35255;Saint-Benoît-des-Ondes
47.86784038522282, -1.8054028101735835;35;Ille-et-Vilaine;35289;Saint-Malo-de-Phily
48.57052970461543, -1.9672781051274861;35;Ille-et-Vilaine;35314;Saint-Suliac
47.89802497825739, -1.60629956887909;35;Ille-et-Vilaine;35322;Le Sel-de-Bretagne
48.45147352827626, -2.9467183677877835;22;Côtes-d'Armor;22045;Cohiniac
48.55798404647853, -2.381554908505979;22;Côtes-d'Armor;22076;Hénanbihen
48.515180464964274, -2.337312105064261;22;Côtes-d'Armor;22096;Landébia
48.223996028900316, -3.123601388977203;22;Côtes-d'Armor;22107;Bon Repos sur Blavet
48.604206339182014, -2.8988006689345998;22;Côtes-d'Armor;22117;Lantic
48.80343680465705, -3.109062725836568;22;Côtes-d'Armor;22127;Lézardrieux
48.49128434115146, -2.3211902889547233;22;Côtes-d'Armor;22200;Pléven
48.725720882511204, -3.336658804538417;22;Côtes-d'Armor;22257;Quemperven
48.46300172694678, -2.0857854971630276;22;Côtes-d'Armor;22259;Quévert
48.593981073886454, -4.344599252165043;29;Finistère;29094;Kernouës
48.45022373991974, -4.057920780623325;29;Finistère;29131;Locmélar
48.09808247011511, -4.213159629376257;29;Finistère;29134;Locronan
48.55649486797537, -4.128531430218059;29;Finistère;29187;Plougar
48.60341965683334, -4.490944935197961;29;Finistère;29195;Plouguerneau
47.87221336540582, -3.765728130245548;29;Finistère;29217;Pont-Aven
48.118063530532716, -4.143925818894822;29;Finistère;29229;Quéménéven
48.18221974219988, -4.066883108447141;29;Finistère;29243;Saint-Coulitz
48.15165435411844, -3.7659024769082086;29;Finistère;29249;Saint-Goazec
48.67002698434251, -3.7628680194593773;29;Finistère;29251;Saint-Jean-du-Doigt
48.781533179693625, -3.4497148782345137;22;Côtes-d'Armor;22324;Saint-Quay-Perros
48.388871430691424, -2.0681624638529756;22;Côtes-d'Armor;22380;Trévron
48.39398952757658, -2.117702528013565;22;Côtes-d'Armor;22021;Brusvily
48.21724561201957, -3.039756388323664;22;Côtes-d'Armor;22033;Caurel
48.13413992879994, -2.66248453321529;22;Côtes-d'Armor;22039;La Chèze
48.637393629577176, -3.0478214611086005;22;Côtes-d'Armor;22063;Gommenec'h
48.34601944912991, -2.9687827470942216;22;Côtes-d'Armor;22073;La Harmoye
48.441565954939556, -3.126098611824184;22;Côtes-d'Armor;22189;Plésidy
48.56737669717271, -2.830211081088653;22;Côtes-d'Armor;22251;Pordic
48.495755138424094, -4.50003045399556;29;Finistère;29015;Bourg-Blanc
48.35581020789005, -4.263891208363922;29;Finistère;29043;Daoulas
48.00786090012379, -3.9025421950941364;29;Finistère;29049;Elliant
47.943410694230884, -3.4261176626878007;29;Finistère;29071;Guilligomarc'h
48.361687457613684, -3.7584834844122184;29;Finistère;29081;Huelgoat
48.745687273655065, -4.014964811181948;29;Finistère;29082;Île-de-Batz
48.03828667399717, -4.857115772787123;29;Finistère;29083;Île-de-Sein
48.647789822850825, -4.378660820202829;29;Finistère;29091;Kerlouan
48.2894425317954, -3.902772708828803;29;Finistère;29115;Lannédern
48.072804741106935, -4.158669702259817;29;Finistère;29169;Plogonnec
48.66553165387689, -4.180112643273047;29;Finistère;29185;Plouescat
48.01422335635547, -4.485638810963973;29;Finistère;29197;Plouhinec
