Code département;LIBGEO;Score_Gauche;Score_Droite;Score_Divers
22;Allineuc;20.46;78.68;0.86
22;Andel;25.53;73.47;1.0
22;Aucaleuc;29.51;70.49;0.0
22;Bégard;31.76;68.24;0.0
22;Belle-Isle-en-Terre;36.75;63.24;0.01
22;Berhet;31.07;68.94;0.0
22;Bobital;24.43;75.57;0.0
22;Le Bodéo;20.43;79.57;0.0
22;Boqueho;34.34;65.66;0.0
22;La Bouillie;19.32;80.69;0.0
22;Bourbriac;32.27;67.73;0.0
22;Bourseul;21.62;78.39;0.0
22;Bréhand;19.34;80.36;0.3
22;Ile-de-Bréhat;26.89;73.11;0.0
22;Brélidy;38.65;61.35;0.0
22;Bringolo;35.22;64.78;0.0
22;Broons;18.1;81.89;0.01
22;Brusvily;27.87;72.12;0.01
22;Bulat-Pestivien;34.45;65.54;0.01
22;Calanhel;21.47;78.52;0.01
22;Callac;31.38;68.62;0.0
22;Calorguen;34.56;65.45;0.0
22;Le Cambout;16.03;83.96;0.01
22;Camlez;25.15;74.85;0.0
22;Canihuel;20.29;79.71;0.0
22;Caouënnec-Lanvézéac;31.77;68.23;0.0
22;Carnoët;35.59;64.41;0.0
22;Caulnes;19.56;80.43;0.01
22;Caurel;26.03;73.51;0.46
22;Cavan;36.68;63.32;0.0
22;Les Champs-Géraux;29.33;70.68;0.0
22;La Chapelle-Blanche;24.42;75.57;0.01
22;La Chapelle-Neuve;28.64;71.37;0.0
22;La Chèze;20.73;77.82;1.45
22;Coadout;34.71;65.29;0.0
22;Coatascorn;36.69;63.31;0.0
22;Coatréven;30.21;69.79;0.0
22;Coëtlogon;22.04;77.96;0.0
22;Coëtmieux;21.83;77.44;0.73
22;Cohiniac;25.98;74.02;0.0
22;Le Mené;20.83;78.69;0.48
22;Corlay;26.19;73.09;0.72
22;Corseul;27.82;72.18;0.0
22;Créhen;17.39;82.6;0.01
22;Dinan;32.79;67.22;0.0
22;Duault;25.51;74.49;0.0
22;Eréac;14.53;85.45;0.02
22;Erquy;23.31;76.69;0.0
22;Binic-Etables-sur-Mer;31.36;68.64;0.0
22;Evran;32.21;67.79;0.0
22;Le Faouët;36.84;63.15;0.01
22;Le Foeil;23.95;75.93;0.12
22;Gausson;17.08;81.82;1.1
22;Glomel;36.24;63.76;0.0
22;Gomené;25.33;74.34;0.33
22;Gommenec'h;29.88;70.13;0.0
22;Gouarec;27.05;72.95;0.0
22;Goudelin;25.15;74.85;0.0
22;Grâces;32.35;67.65;0.0
22;Grâce-Uzel;19.49;80.09;0.42
22;Guenroc;30.07;69.92;0.01
22;Guingamp;38.27;61.73;0.0
22;Guitté;24.8;75.2;0.0
22;Gurunhuel;28.09;71.91;0.0
22;La Harmoye;31.98;66.67;1.35
22;Le Haut-Corlay;19.15;80.32;0.53
22;Hémonstoir;15.65;84.07;0.28
22;Hénanbihen;15.49;84.51;0.0
22;Hénansal;22.49;77.51;0.0
22;Hénon;24.98;74.38;0.64
22;Hillion;27.59;72.4;0.01
22;Le Hinglé;25.0;74.99;0.01
22;Illifaut;20.52;78.41;1.07
22;Jugon-les-Lacs;29.75;69.0;1.25
22;Kerbors;30.6;69.4;0.0
22;Kerfot;24.42;75.58;0.0
22;Kergrist-Moëlou;35.17;64.83;0.0
22;Kerien;24.46;75.54;0.0
22;Kermaria-Sulard;33.38;66.62;0.0
22;Kermoroc'h;32.63;67.36;0.01
22;Kerpert;29.22;70.78;0.0
22;Lamballe-Armor;28.84;70.59;0.57
22;Lancieux;26.27;73.73;0.0
22;Landebaëron;37.5;62.5;0.0
22;Landébia;19.49;80.51;0.0
22;La Landec;26.77;73.24;0.0
22;Landéhen;22.66;76.24;1.1
22;Lanfains;28.24;71.23;0.53
22;Langoat;32.18;67.82;0.0
22;Langrolay-sur-Rance;38.74;61.27;0.0
22;Languédias;48.28;51.71;0.01
22;Languenan;20.76;79.23;0.01
22;Langueux;30.23;69.77;0.0
22;Bon Repos sur Blavet;34.06;65.94;0.0
22;Lanleff;39.75;60.25;0.0
22;Lanloup;34.9;65.1;0.0
22;Lanmérin;29.97;70.03;0.0
22;Lanmodez;28.67;71.33;0.0
22;Lannebert;25.38;74.61;0.01
22;Lannion;42.95;57.06;0.0
22;Lanrelas;18.59;81.4;0.01
22;Lanrivain;32.34;67.66;0.0
22;Lanrodec;26.39;73.61;0.0
22;Lantic;30.51;69.49;0.0
22;Lanvallay;29.58;70.42;0.0
22;Lanvellec;43.6;56.4;0.0
22;Lanvollon;25.26;74.75;0.0
22;Laurenan;26.55;71.91;1.54
22;Lescouët-Gouarec;51.32;48.67;0.01
22;Le Leslay;26.44;73.56;0.0
22;Lézardrieux;25.59;74.41;0.0
22;Locarn;28.71;71.29;0.0
22;Loc-Envel;58.93;41.07;0.0
22;Loguivy-Plougras;30.61;69.39;0.0
22;Lohuec;13.85;86.16;0.0
22;Loscouët-sur-Meu;17.95;81.49;0.56
22;Louannec;31.52;68.48;0.0
22;Louargat;35.41;64.59;0.0
22;Loudéac;23.67;75.91;0.42
22;Maël-Carhaix;30.99;69.0;0.01
22;Maël-Pestivien;40.66;59.35;0.0
22;Magoar;25.0;75.0;0.0
22;La Malhoure;17.53;81.17;1.3
22;Mantallot;31.79;68.21;0.0
22;Matignon;25.39;74.62;0.0
22;La Méaugon;31.86;68.14;0.0
22;Mégrit;25.63;74.38;0.0
22;Mellionnec;66.91;33.09;0.0
22;Merdrignac;17.93;81.42;0.65
22;Mérillac;22.87;77.12;0.01
22;Merléac;36.96;61.21;1.83
22;Le Merzer;30.0;70.0;0.0
22;Minihy-Tréguier;26.99;73.01;0.0
22;Moncontour;42.25;56.97;0.78
22;La Motte;18.14;81.4;0.46
22;Moustéru;31.19;68.82;0.0
22;Le Moustoir;26.47;73.53;0.0
22;Guerlédan;26.04;73.26;0.7
22;Noyal;34.59;64.69;0.72
22;Pabu;34.08;65.93;0.0
22;Paimpol;30.16;69.84;0.0
22;Paule;29.71;70.28;0.01
22;Pédernec;33.02;66.98;0.0
22;Penguily;20.33;78.71;0.96
22;Penvénan;30.57;69.44;0.0
22;Perros-Guirec;27.64;72.36;0.0
22;Peumerit-Quintin;51.06;48.93;0.01
22;Plaine-Haute;24.75;74.81;0.44
22;Plaintel;26.86;72.41;0.73
22;Plancoët;18.29;81.7;0.01
22;Pléboulle;21.3;78.69;0.01
22;Plédéliac;26.61;72.95;0.44
22;Plédran;28.5;71.5;0.0
22;Pléguien;32.36;67.64;0.0
22;Pléhédel;29.55;70.45;0.0
22;Fréhel;29.46;70.55;0.0
22;Plélan-le-Petit;25.64;74.35;0.01
22;Plélauff;33.5;66.5;0.0
22;Plélo;26.96;73.04;0.0
22;Plémet;17.73;81.78;0.49
22;Plémy;19.97;79.34;0.69
22;Plénée-Jugon;29.29;69.92;0.79
22;Pléneuf-Val-André;24.09;75.91;0.0
22;Plérin;33.82;66.17;0.01
22;Plerneuf;24.7;75.3;0.0
22;Plésidy;27.76;72.24;0.0
22;Pleslin-Trigavou;26.72;73.28;0.0
22;Plestan;22.65;76.63;0.72
22;Plestin-les-Grèves;39.87;60.14;0.0
22;Pleubian;24.34;75.66;0.0
22;Pleudaniel;28.41;71.59;0.0
22;Pleudihen-sur-Rance;29.61;70.38;0.01
22;Pleumeur-Bodou;40.43;59.57;0.0
22;Pleumeur-Gautier;20.82;79.18;0.0
22;Pléven;25.94;74.07;0.0
22;Plévenon;29.37;70.63;0.0
22;Plévin;28.42;71.58;0.0
22;Ploeuc-L'Hermitage;24.21;74.77;1.02
22;Ploëzal;30.24;69.76;0.0
22;Plorec-sur-Arguenon;19.19;80.82;0.0
22;Châtelaudren-Plouagat;31.65;68.33;0.02
22;Plouaret;35.68;64.32;0.0
22;Plouasne;29.13;70.86;0.01
22;Beaussais-sur-Mer;21.99;78.01;0.0
22;Ploubazlanec;28.41;71.58;0.01
22;Ploubezre;38.12;61.88;0.0
22;Plouëc-du-Trieux;33.62;66.37;0.01
22;Plouër-sur-Rance;38.72;61.28;0.0
22;Plouézec;32.47;67.52;0.01
22;Ploufragan;35.22;64.77;0.01
22;Plougonver;31.0;69.01;0.0
22;Plougras;35.71;64.28;0.01
22;Plougrescant;36.06;63.95;0.0
22;Plouguenast-Langast;18.93;80.55;0.52
22;Plouguernével;29.58;70.41;0.01
22;Plouguiel;39.72;60.28;0.0
22;Plouha;33.4;66.6;0.0
22;Plouisy;33.62;66.38;0.0
22;Ploulec'h;39.98;60.02;0.0
22;Ploumagoar;33.91;66.08;0.01
22;Ploumilliau;34.21;65.79;0.0
22;Plounérin;29.85;70.15;0.0
22;Plounévez-Moëdec;35.31;64.69;0.0
22;Plounévez-Quintin;34.44;65.56;0.0
22;Plourac'h;25.85;74.15;0.0
22;Plourhan;30.54;69.46;0.0
22;Plourivo;25.44;74.56;0.0
22;Plouvara;24.62;75.38;0.0
22;Plouzélambre;27.86;72.15;0.0
22;Pludual;28.54;71.47;0.0
22;Pluduno;19.12;80.88;0.0
22;Plufur;41.57;58.44;0.0
22;Plumaudan;28.5;71.5;0.0
22;Plumaugat;20.16;79.84;0.0
22;Plumieux;10.63;88.87;0.5
22;Plurien;25.05;74.95;0.0
22;Plusquellec;30.67;69.33;0.0
22;Plussulien;27.14;72.49;0.37
22;Pluzunet;33.8;66.21;0.0
22;Pommeret;23.22;76.44;0.34
22;Pommerit-le-Vicomte;31.92;68.07;0.01
22;Pont-Melvez;23.01;77.0;0.0
22;Pontrieux;34.6;65.4;0.0
22;Pordic;32.39;67.63;0.0
22;Prat;31.43;68.58;0.0
22;La Prénessaye;18.55;80.76;0.69
22;Quemper-Guézennec;27.2;72.8;0.0
22;Quemperven;30.33;69.67;0.0
22;Quessoy;23.17;76.15;0.68
22;Quévert;28.93;71.08;0.0
22;Le Quillio;17.06;82.24;0.7
22;Quintenic;19.0;80.5;0.5
22;Quintin;28.34;71.17;0.49
22;Le Quiou;31.07;68.94;0.0
22;La Roche-Jaudy;34.12;65.88;0.0
22;Rospez;33.49;66.5;0.01
22;Rostrenen;39.25;60.75;0.0
22;Rouillac;20.11;79.9;0.0
22;Ruca;29.36;70.63;0.01
22;Runan;22.79;77.21;0.0
22;Saint-Adrien;31.05;68.94;0.01
22;Saint-Agathon;29.12;70.89;0.0
22;Saint-Alban;22.73;77.28;0.0
22;Saint-André-des-Eaux;42.59;57.41;0.0
22;Saint-Barnabé;18.34;80.78;0.88
22;Saint-Bihy;30.5;67.37;2.13
22;Saint-Brandan;23.91;75.8;0.29
22;Saint-Brieuc;43.71;56.29;0.0
22;Saint-Caradec;21.95;77.53;0.52
22;Saint-Carné;28.07;71.92;0.01
22;Saint-Carreuc;26.08;72.73;1.19
22;Saint-Cast-le-Guildo;22.14;77.87;0.0
22;Saint-Clet;43.47;56.54;0.0
22;Saint-Connan;26.12;73.88;0.0
22;Saint-Connec;26.46;72.26;1.28
22;Saint-Denoual;16.99;83.02;0.0
22;Saint-Donan;32.87;67.13;0.0
22;Saint-Etienne-du-Gué-de-l'Isle;13.3;86.7;0.0
22;Saint-Fiacre;25.87;74.14;0.0
22;Saint-Gildas;25.7;74.3;0.0
22;Saint-Gilles-les-Bois;30.64;69.36;0.0
22;Saint-Gilles-Pligeaux;19.34;80.66;0.0
22;Saint-Gilles-Vieux-Marché;23.0;76.0;1.0
22;Saint-Glen;21.99;76.99;1.02
22;Saint-Hélen;29.73;70.26;0.01
22;Saint-Hervé;18.98;80.56;0.46
22;Saint-Jacut-de-la-Mer;29.27;70.73;0.0
22;Saint-Jean-Kerdaniel;34.29;65.71;0.0
22;Saint-Jouan-de-l'Isle;14.4;85.59;0.01
22;Saint-Judoce;26.54;73.45;0.01
22;Saint-Julien;26.95;73.03;0.02
22;Saint-Juvat;32.58;67.42;0.0
22;Saint-Launeuc;15.84;84.15;0.01
22;Saint-Laurent;41.58;58.42;0.0
22;Saint-Lormel;22.44;77.57;0.0
22;Saint-Maden;30.28;69.72;0.0
22;Saint-Martin-des-Prés;21.36;78.15;0.49
22;Saint-Maudan;16.74;81.89;1.37
22;Saint-Maudez;27.6;72.38;0.02
22;Saint-Mayeux;27.63;71.21;1.16
22;Saint-Méloir-des-Bois;23.45;76.54;0.01
22;Saint-Michel-de-Plélan;28.57;71.43;0.0
22;Saint-Michel-en-Grève;39.8;60.2;0.0
22;Saint-Nicodème;49.47;50.52;0.01
22;Saint-Nicolas-du-Pélem;26.29;73.72;0.0
22;Saint-Péver;18.7;81.3;0.0
22;Saint-Pôtan;25.83;74.16;0.01
22;Saint-Quay-Perros;30.53;69.46;0.01
22;Saint-Quay-Portrieux;24.5;75.49;0.01
22;Saint-Rieul;21.91;77.74;0.35
22;Saint-Samson-sur-Rance;28.31;71.7;0.0
22;Saint-Servais;39.73;60.27;0.0
22;Saint-Thélo;19.65;79.47;0.88
22;Sainte-Tréphine;22.99;77.01;0.0
22;Saint-Trimoël;20.2;78.79;1.01
22;Saint-Vran;22.55;76.98;0.47
22;Saint-Igeaux;25.37;74.62;0.01
22;Senven-Léhart;14.78;85.22;0.0
22;Sévignac;19.93;80.07;0.0
22;Squiffiec;32.72;67.28;0.0
22;Taden;30.66;69.34;0.0
22;Tonquédec;35.92;64.08;0.0
22;Tramain;19.9;79.6;0.5
22;Trébédan;25.44;74.57;0.0
22;Trébeurden;36.01;63.99;0.0
22;Trébrivan;37.21;62.78;0.01
22;Trébry;25.73;73.64;0.63
22;Trédaniel;21.47;77.77;0.76
22;Trédarzec;34.62;65.38;0.0
22;Trédias;27.18;72.82;0.0
22;Trédrez-Locquémeau;45.95;54.06;0.0
22;Tréduder;46.54;53.46;0.0
22;Treffrin;33.44;66.56;0.0
22;Tréfumel;21.68;78.31;0.01
22;Trégastel;31.15;68.84;0.01
22;Tréglamus;32.43;67.56;0.01
22;Trégomeur;27.99;72.01;0.0
22;Trégonneau;34.41;65.6;0.0
22;Trégrom;37.0;62.99;0.01
22;Trégueux;31.75;68.25;0.0
22;Tréguidel;29.53;70.46;0.01
22;Tréguier;36.02;63.98;0.0
22;Trélévern;36.12;63.87;0.01
22;Trélivan;25.35;74.65;0.0
22;Trémargat;87.4;12.6;0.0
22;Trémel;31.83;68.17;0.0
22;Tréméreuc;28.93;71.07;0.0
22;Trémeur;29.98;70.01;0.01
22;Tréméven;29.95;70.05;0.0
22;Trémorel;11.27;87.94;0.79
22;Trémuson;29.97;70.03;0.0
22;Tréogan;36.73;63.27;0.0
22;Tressignaux;35.28;64.72;0.0
22;Trévé;17.72;81.34;0.94
22;Tréveneuc;27.7;72.29;0.01
22;Trévérec;33.33;66.67;0.0
22;Trévou-Tréguignec;39.59;60.41;0.0
22;Trévron;27.99;72.01;0.0
22;Trézény;30.92;69.08;0.0
22;Troguéry;35.83;64.18;0.0
22;Uzel;23.53;75.46;1.01
22;La Vicomté-sur-Rance;35.97;64.03;0.0
22;Le Vieux-Bourg;19.3;79.94;0.76
22;Le Vieux-Marché;41.52;58.47;0.01
22;Vildé-Guingalan;24.65;75.34;0.01
22;Yffiniac;27.47;72.52;0.01
22;Yvias;27.78;72.22;0.0
22;Yvignac-la-Tour;26.43;73.57;0.0
29;Argol;34.89;65.11;0.0
29;Arzano;38.61;61.39;0.0
29;Audierne;27.94;72.07;0.0
29;Bannalec;43.15;56.86;0.0
29;Baye;41.33;58.67;0.0
29;Bénodet;18.88;81.12;0.0
29;Berrien;60.13;39.85;0.02
29;Beuzec-Cap-Sizun;26.2;73.81;0.0
29;Bodilis;16.91;83.1;0.0
29;Bohars;27.02;72.99;0.0
29;Bolazec;54.43;45.57;0.0
29;Botmeur;64.35;35.65;0.0
29;Botsorhel;32.95;67.04;0.01
29;Bourg-Blanc;23.95;75.95;0.1
29;Brasparts;42.04;57.95;0.01
29;Brélès;21.11;78.88;0.01
29;Brennilis;44.81;55.19;0.0
29;Brest;40.9;58.9;0.2
29;Briec;33.14;66.86;0.0
29;Plounéour-Brignogan-plages;27.33;72.67;0.0
29;Camaret-sur-Mer;33.8;66.2;0.0
29;Carantec;24.85;75.16;0.0
29;Carhaix-Plouguer;44.56;55.46;0.0
29;Cast;35.36;64.63;0.01
29;Châteaulin;36.77;63.23;0.0
29;Châteauneuf-du-Faou;32.17;67.84;0.0
29;Cléden-Cap-Sizun;26.22;73.78;0.0
29;Cléden-Poher;35.03;64.97;0.0
29;Cléder;21.95;78.04;0.01
29;Clohars-Carnoët;40.55;59.46;0.0
29;Clohars-Fouesnant;25.7;74.3;0.0
29;Le Cloître-Pleyben;37.32;62.68;0.0
29;Le Cloître-Saint-Thégonnec;41.49;58.51;0.0
29;Coat-Méal;18.89;80.76;0.35
29;Collorec;40.53;59.47;0.0
29;Combrit;29.5;70.5;0.0
29;Commana;41.87;58.13;0.0
29;Concarneau;38.41;61.59;0.0
29;Le Conquet;22.0;77.73;0.27
29;Coray;34.11;65.88;0.01
29;Crozon;37.23;62.78;0.0
29;Daoulas;54.7;45.3;0.0
29;Dinéault;38.07;61.94;0.0
29;Dirinon;29.49;70.52;0.0
29;Douarnenez;42.89;57.12;0.0
29;Le Drennec;19.29;79.84;0.87
29;Edern;31.57;68.43;0.0
29;Elliant;41.76;58.24;0.0
29;Ergué-Gabéric;32.51;67.49;0.0
29;Le Faou;46.49;53.51;0.0
29;La Feuillée;61.77;38.23;0.0
29;Le Folgoët;22.6;77.41;0.0
29;La Forest-Landerneau;31.61;68.4;0.0
29;La Forêt-Fouesnant;22.68;77.32;0.0
29;Fouesnant;27.09;72.92;0.0
29;Garlan;38.06;61.94;0.0
29;Gouesnach;29.32;70.68;0.0
29;Gouesnou;27.68;72.32;0.0
29;Gouézec;37.79;62.22;0.0
29;Goulien;24.04;75.97;0.0
29;Goulven;21.75;78.24;0.01
29;Gourlizon;29.66;70.33;0.01
29;Guengat;28.08;71.9;0.02
29;Guerlesquin;26.61;73.39;0.0
29;Guiclan;24.56;75.43;0.01
29;Guilers;27.78;72.21;0.01
29;Guiler-sur-Goyen;31.19;68.81;0.0
29;Guilligomarc'h;40.49;59.51;0.0
29;Guilvinec;27.96;72.05;0.0
29;Guimaëc;47.62;52.39;0.0
29;Guimiliau;26.52;73.48;0.0
29;Guipavas;29.17;70.82;0.01
29;Milizac-Guipronvel;21.57;78.16;0.27
29;Guissény;24.53;75.48;0.0
29;Hanvec;48.43;51.57;0.0
29;Henvic;28.55;71.45;0.0
29;Hôpital-Camfrout;50.11;49.9;0.0
29;Huelgoat;52.44;47.56;0.0
29;Ile-de-Batz;28.57;71.42;0.01
29;Ile-de-Sein;30.05;69.95;0.0
29;Ile-Molène;20.0;79.36;0.64
29;Ile-Tudy;31.6;68.4;0.0
29;Irvillac;46.16;53.85;0.0
29;Le Juch;31.77;68.25;0.0
29;Kergloff;34.86;65.13;0.01
29;Kerlaz;39.54;60.45;0.01
29;Kerlouan;22.02;77.99;0.0
29;Kernilis;20.95;78.75;0.3
29;Kernouës;21.58;78.42;0.0
29;Kersaint-Plabennec;21.79;77.96;0.25
29;Lampaul-Guimiliau;24.46;75.54;0.0
29;Lampaul-Plouarzel;31.86;67.94;0.2
29;Lampaul-Ploudalmézeau;27.49;72.13;0.38
29;Lanarvily;27.38;72.61;0.01
29;Landéda;33.43;66.57;0.0
29;Landeleau;38.06;61.94;0.0
29;Landerneau;33.1;66.91;0.0
29;Landévennec;38.26;61.74;0.0
29;Landivisiau;22.54;77.46;0.0
29;Landrévarzec;30.63;69.37;0.0
29;Landudal;30.77;69.23;0.0
29;Landudec;24.63;75.36;0.01
29;Landunvez;24.59;75.05;0.36
29;Langolen;35.0;65.0;0.0
29;Lanhouarneau;18.11;81.89;0.0
29;Lanildut;24.21;75.65;0.14
29;Lanmeur;36.11;63.89;0.0
29;Lannéanou;32.96;67.04;0.0
29;Lannédern;42.47;57.53;0.0
29;Lanneuffret;25.35;74.65;0.0
29;Lannilis;26.87;73.12;0.01
29;Lanrivoaré;21.72;78.16;0.12
29;Lanvéoc;33.47;66.53;0.0
29;Laz;38.57;61.41;0.02
29;Lennon;34.18;65.82;0.0
29;Lesneven;27.24;72.75;0.01
29;Leuhan;36.85;63.14;0.01
29;Loc-Brévalaire;22.46;76.8;0.74
29;Loc-Eguiner;14.28;85.72;0.0
29;Locmaria-Plouzané;29.09;70.57;0.34
29;Locmélar;29.03;70.96;0.01
29;Locquénolé;39.47;60.52;0.01
29;Locquirec;32.46;67.55;0.0
29;Locronan;45.27;54.72;0.01
29;Loctudy;28.71;71.29;0.0
29;Locunolé;33.66;66.34;0.0
29;Logonna-Daoulas;53.24;46.75;0.01
29;Lopérec;45.53;54.47;0.0
29;Loperhet;44.29;55.71;0.0
29;Loqueffret;44.96;55.05;0.0
29;Lothey;37.03;62.96;0.01
29;Mahalon;26.14;73.86;0.0
